seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,1,0.0,0.6619,0.6599,1.0,1,0.6425,0.6425,0.6423,0.6225,941,180,0.6599
0,5,0.0,0.6893,0.6781,0.0038,5,0.6425,0.6425,0.6423,0.6225,941,180,0.6776
0,10,0.0,0.6956,0.6784,0.0034,10,0.6425,0.6425,0.6423,0.6225,941,180,0.6785
0,20,0.0,0.7101,0.6803,0.0,20,0.6425,0.6425,0.6423,0.6225,941,180,0.6787
1,1,0.0,0.6779,0.6718,1.0,1,0.6471,0.6467,0.6456,0.6277,941,180,0.6718
1,5,0.0,0.6989,0.678,0.0697,5,0.6471,0.6467,0.6456,0.6277,941,180,0.6774
1,10,0.0,0.7017,0.6774,0.0019,10,0.6471,0.6467,0.6456,0.6277,941,180,0.6768
1,20,0.0,0.7055,0.6792,0.0008,20,0.6471,0.6467,0.6456,0.6277,941,180,0.6776
2,1,0.0,0.6922,0.6711,1.0,1,0.6376,0.6387,0.6401,0.6209,941,180,0.6711
2,5,0.0,0.6791,0.6679,0.011,5,0.6376,0.6387,0.6401,0.6209,941,180,0.6677
2,10,0.0,0.6993,0.671,0.0004,10,0.6376,0.6387,0.6401,0.6209,941,180,0.6707
2,20,0.0,0.7063,0.672,0.0002,20,0.6376,0.6387,0.6401,0.6209,941,180,0.6722
3,1,0.0,0.6808,0.6706,1.0,1,0.6424,0.6426,0.6427,0.6232,941,180,0.6706
3,5,0.0,0.6888,0.6747,0.0047,5,0.6424,0.6426,0.6427,0.6232,941,180,0.6731
3,10,0.0,0.6953,0.6766,0.0003,10,0.6424,0.6426,0.6427,0.6232,941,180,0.6766
3,20,0.0,0.7101,0.6778,0.0,20,0.6424,0.6426,0.6427,0.6232,941,180,0.6768
4,1,0.0,0.6622,0.6629,1.0,1,0.6422,0.6429,0.6434,0.6267,941,180,0.6629
4,5,0.0,0.7058,0.6767,0.0938,5,0.6422,0.6429,0.6434,0.6267,941,180,0.6762
4,10,0.0,0.6985,0.6753,0.0084,10,0.6422,0.6429,0.6434,0.6267,941,180,0.6767
4,20,0.0,0.7027,0.6761,0.0005,20,0.6422,0.6429,0.6434,0.6267,941,180,0.6764
