direction,concept,cos_mean,cos_std,null_tau,significant
wbar,helpfulness,0.0648,0.0017,0.0318,True
wbar,fluency,0.0616,0.0025,0.0318,True
wbar,factuality,0.0353,0.0018,0.0318,True
wbar,safety,0.0297,0.0024,0.0318,False
wbar,diversity,0.0595,0.0021,0.0318,True
wbar,creativity,-0.0219,0.0022,0.0318,False
wbar,values,0.0295,0.0021,0.0318,False
wbar,confidence,0.0766,0.0047,0.0318,True
wbar,formatting,0.053,0.003,0.0318,True
wbar,sycophancy,-0.0315,0.002,0.0318,False
wbar,repetition,-0.0411,0.0012,0.0318,True
base_head,helpfulness,0.4935,0.0,0.0318,True
base_head,fluency,-0.0416,0.0,0.0318,True
base_head,factuality,0.4574,0.0,0.0318,True
base_head,safety,0.4235,0.0,0.0318,True
base_head,diversity,0.4083,0.0,0.0318,True
base_head,creativity,-0.3831,0.0,0.0318,True
base_head,values,0.4444,0.0,0.0318,True
base_head,confidence,0.2523,0.0,0.0318,True
base_head,formatting,0.3621,0.0,0.0318,True
base_head,sycophancy,-0.4007,0.0,0.0318,True
base_head,repetition,-0.3939,0.0,0.0318,True
residual,helpfulness,0.0511,0.0025,0.0318,True
residual,fluency,0.0628,0.0024,0.0318,True
residual,factuality,0.0226,0.0037,0.0318,False
residual,safety,0.018,0.0028,0.0318,False
residual,diversity,0.0482,0.0039,0.0318,True
residual,creativity,-0.0113,0.0029,0.0318,False
residual,values,0.0172,0.0029,0.0318,False
residual,confidence,0.0696,0.0054,0.0318,True
residual,formatting,0.043,0.0038,0.0318,True
residual,sycophancy,-0.0204,0.0034,0.0318,False
residual,repetition,-0.0302,0.0026,0.0318,False
