direction,concept,cos_mean,cos_std,null_tau,significant
wbar,helpfulness,0.0637,0.0007,0.0318,True
wbar,fluency,0.0622,0.0031,0.0318,True
wbar,factuality,0.036,0.0013,0.0318,True
wbar,safety,0.0299,0.0009,0.0318,False
wbar,diversity,0.059,0.0007,0.0318,True
wbar,creativity,-0.0241,0.0028,0.0318,False
wbar,values,0.0291,0.0013,0.0318,False
wbar,confidence,0.077,0.0041,0.0318,True
wbar,formatting,0.0508,0.0004,0.0318,True
wbar,sycophancy,-0.0307,0.0007,0.0318,False
wbar,repetition,-0.0437,0.0008,0.0318,True
base_head,helpfulness,0.4935,0.0,0.0318,True
base_head,fluency,-0.0416,0.0,0.0318,True
base_head,factuality,0.4574,0.0,0.0318,True
base_head,safety,0.4235,0.0,0.0318,True
base_head,diversity,0.4083,0.0,0.0318,True
base_head,creativity,-0.3831,0.0,0.0318,True
base_head,values,0.4444,0.0,0.0318,True
base_head,confidence,0.2523,0.0,0.0318,True
base_head,formatting,0.3621,0.0,0.0318,True
base_head,sycophancy,-0.4007,0.0,0.0318,True
base_head,repetition,-0.3939,0.0,0.0318,True
residual,helpfulness,0.0514,0.0014,0.0318,True
residual,fluency,0.0632,0.003,0.0318,True
residual,factuality,0.0246,0.0023,0.0318,False
residual,safety,0.0193,0.0005,0.0318,False
residual,diversity,0.0488,0.0017,0.0318,True
residual,creativity,-0.0145,0.0017,0.0318,False
residual,values,0.018,0.0012,0.0318,False
residual,confidence,0.0707,0.0048,0.0318,True
residual,formatting,0.0418,0.0007,0.0318,True
residual,sycophancy,-0.0207,0.0007,0.0318,False
residual,repetition,-0.0338,0.0013,0.0318,True
