sample,edit,direction,score_orig,score_edit,delta
0,+factuality,prism_meandiff,-14.5156,-7.945,6.5705
0,+factuality,true_head,-30.2297,-32.7529,-2.5232
0,+helpfulness,prism_meandiff,-14.5156,-7.9533,6.5622
0,+helpfulness,true_head,-30.2297,-30.395,-0.1653
0,+formatting,prism_meandiff,-14.5156,-18.2167,-3.7012
0,+formatting,true_head,-30.2297,-34.3,-4.0704
0,-sycophancy,prism_meandiff,-14.5156,-16.0401,-1.5245
0,-sycophancy,true_head,-30.2297,-40.0177,-9.788
0,+length_ctrl,prism_meandiff,-14.5156,-10.6624,3.8532
0,+length_ctrl,true_head,-30.2297,-33.0059,-2.7762
1,+factuality,prism_meandiff,5.7431,0.7591,-4.9841
1,+factuality,true_head,-5.4255,-16.0484,-10.6228
1,+helpfulness,prism_meandiff,5.7431,4.3109,-1.4322
1,+helpfulness,true_head,-5.4255,-5.9538,-0.5283
1,+formatting,prism_meandiff,5.7431,2.071,-3.6721
1,+formatting,true_head,-5.4255,-6.6453,-1.2198
1,-sycophancy,prism_meandiff,5.7431,4.7337,-1.0094
1,-sycophancy,true_head,-5.4255,-5.6659,-0.2404
1,+length_ctrl,prism_meandiff,5.7431,3.1038,-2.6393
1,+length_ctrl,true_head,-5.4255,-8.0361,-2.6106
2,+factuality,prism_meandiff,3.9292,4.1318,0.2027
2,+factuality,true_head,-4.3926,-4.9306,-0.538
2,+helpfulness,prism_meandiff,3.9292,4.1479,0.2187
2,+helpfulness,true_head,-4.3926,-4.2637,0.1289
2,+formatting,prism_meandiff,3.9292,0.7705,-3.1587
2,+formatting,true_head,-4.3926,-5.3631,-0.9705
2,-sycophancy,prism_meandiff,3.9292,1.8169,-2.1123
2,-sycophancy,true_head,-4.3926,-6.5661,-2.1735
2,+length_ctrl,prism_meandiff,3.9292,2.0612,-1.8679
2,+length_ctrl,true_head,-4.3926,-7.9447,-3.5521
3,+factuality,prism_meandiff,7.3579,4.973,-2.3849
3,+factuality,true_head,-4.3949,-12.2577,-7.8628
3,+helpfulness,prism_meandiff,7.3579,6.9545,-0.4034
3,+helpfulness,true_head,-4.3949,-4.0241,0.3708
3,+formatting,prism_meandiff,7.3579,3.4623,-3.8956
3,+formatting,true_head,-4.3949,-6.659,-2.264
3,-sycophancy,prism_meandiff,7.3579,1.6548,-5.7031
3,-sycophancy,true_head,-4.3949,-11.7884,-7.3934
3,+length_ctrl,prism_meandiff,7.3579,6.7314,-0.6265
3,+length_ctrl,true_head,-4.3949,-3.8659,0.529
4,+factuality,prism_meandiff,7.4731,6.9253,-0.5478
4,+factuality,true_head,-4.3378,-4.9789,-0.6411
4,+helpfulness,prism_meandiff,7.4731,10.0133,2.5401
4,+helpfulness,true_head,-4.3378,-0.083,4.2548
4,+formatting,prism_meandiff,7.4731,4.4795,-2.9937
4,+formatting,true_head,-4.3378,-5.705,-1.3672
4,-sycophancy,prism_meandiff,7.4731,5.5258,-1.9473
4,-sycophancy,true_head,-4.3378,-6.6757,-2.3379
4,+length_ctrl,prism_meandiff,7.4731,5.3049,-2.1682
4,+length_ctrl,true_head,-4.3378,-6.0804,-1.7425
5,+factuality,prism_meandiff,6.7641,9.6627,2.8986
5,+factuality,true_head,-4.1874,-0.0083,4.1791
5,+helpfulness,prism_meandiff,6.7641,11.2936,4.5294
5,+helpfulness,true_head,-4.1874,3.3574,7.5448
5,+formatting,prism_meandiff,6.7641,4.9254,-1.8388
5,+formatting,true_head,-4.1874,-4.0296,0.1578
5,-sycophancy,prism_meandiff,6.7641,5.7129,-1.0513
5,-sycophancy,true_head,-4.1874,-4.2839,-0.0965
5,+length_ctrl,prism_meandiff,6.7641,5.6606,-1.1035
5,+length_ctrl,true_head,-4.1874,-3.7471,0.4403
6,+factuality,prism_meandiff,-1.836,0.3048,2.1408
6,+factuality,true_head,-16.5607,-16.2297,0.3311
6,+helpfulness,prism_meandiff,-1.836,0.6569,2.4929
6,+helpfulness,true_head,-16.5607,-15.3893,1.1714
6,+formatting,prism_meandiff,-1.836,-3.0227,-1.1867
6,+formatting,true_head,-16.5607,-18.4006,-1.8399
6,-sycophancy,prism_meandiff,-1.836,-3.8968,-2.0608
6,-sycophancy,true_head,-16.5607,-23.0222,-6.4615
6,+length_ctrl,prism_meandiff,-1.836,0.5579,2.3939
6,+length_ctrl,true_head,-16.5607,-14.2086,2.3521
7,+factuality,prism_meandiff,2.6814,2.096,-0.5854
7,+factuality,true_head,-13.8824,-16.7556,-2.8732
7,+helpfulness,prism_meandiff,2.6814,2.2572,-0.4242
7,+helpfulness,true_head,-13.8824,-17.3704,-3.488
7,+formatting,prism_meandiff,2.6814,-4.948,-7.6294
7,+formatting,true_head,-13.8824,-19.4099,-5.5275
7,-sycophancy,prism_meandiff,2.6814,-7.6381,-10.3194
7,-sycophancy,true_head,-13.8824,-25.9239,-12.0415
7,+length_ctrl,prism_meandiff,2.6814,0.3054,-2.376
7,+length_ctrl,true_head,-13.8824,-16.379,-2.4965
8,+factuality,prism_meandiff,-7.8686,-7.9219,-0.0533
8,+factuality,true_head,-22.1281,-22.8465,-0.7184
8,+helpfulness,prism_meandiff,-7.8686,10.0239,17.8925
8,+helpfulness,true_head,-22.1281,1.3787,23.5068
8,+formatting,prism_meandiff,-7.8686,-10.508,-2.6395
8,+formatting,true_head,-22.1281,-20.9339,1.1942
8,-sycophancy,prism_meandiff,-7.8686,3.1264,10.995
8,-sycophancy,true_head,-22.1281,-8.2314,13.8967
8,+length_ctrl,prism_meandiff,-7.8686,3.0984,10.9669
8,+length_ctrl,true_head,-22.1281,-8.1864,13.9416
9,+factuality,prism_meandiff,-6.1057,-4.1429,1.9628
9,+factuality,true_head,-29.0027,-25.5827,3.42
9,+helpfulness,prism_meandiff,-6.1057,-9.649,-3.5433
9,+helpfulness,true_head,-29.0027,-32.7731,-3.7703
9,+formatting,prism_meandiff,-6.1057,-6.9081,-0.8024
9,+formatting,true_head,-29.0027,-27.0644,1.9383
9,-sycophancy,prism_meandiff,-6.1057,-10.6889,-4.5832
9,-sycophancy,true_head,-29.0027,-35.4725,-6.4697
9,+length_ctrl,prism_meandiff,-6.1057,-4.6788,1.4269
9,+length_ctrl,true_head,-29.0027,-26.2302,2.7725
10,+factuality,prism_meandiff,6.3902,2.8235,-3.5666
10,+factuality,true_head,-6.6443,-11.8624,-5.2182
10,+helpfulness,prism_meandiff,6.3902,6.2912,-0.099
10,+helpfulness,true_head,-6.6443,-7.0772,-0.433
10,-sycophancy,prism_meandiff,6.3902,0.4155,-5.9747
10,-sycophancy,true_head,-6.6443,-15.3294,-8.6851
10,+length_ctrl,prism_meandiff,6.3902,4.7191,-1.671
10,+length_ctrl,true_head,-6.6443,-8.2348,-1.5906
11,+factuality,prism_meandiff,-0.0695,5.9748,6.0443
11,+factuality,true_head,-15.4498,-8.3811,7.0687
11,+helpfulness,prism_meandiff,-0.0695,7.1569,7.2263
11,+helpfulness,true_head,-15.4498,-4.5605,10.8893
11,+formatting,prism_meandiff,-0.0695,2.3101,2.3796
11,+formatting,true_head,-15.4498,-10.6428,4.807
11,-sycophancy,prism_meandiff,-0.0695,0.3936,0.4631
11,-sycophancy,true_head,-15.4498,-14.7248,0.725
11,+length_ctrl,prism_meandiff,-0.0695,3.1464,3.2158
11,+length_ctrl,true_head,-15.4498,-9.7081,5.7417
12,+factuality,prism_meandiff,6.2052,9.1295,2.9243
12,+factuality,true_head,-5.4364,-3.9417,1.4947
12,+helpfulness,prism_meandiff,6.2052,5.9064,-0.2988
12,+helpfulness,true_head,-5.4364,-9.7882,-4.3518
12,+formatting,prism_meandiff,6.2052,-0.1723,-6.3775
12,+formatting,true_head,-5.4364,-10.7453,-5.309
12,-sycophancy,prism_meandiff,6.2052,-2.9225,-9.1277
12,-sycophancy,true_head,-5.4364,-20.4992,-15.0628
12,+length_ctrl,prism_meandiff,6.2052,4.3299,-1.8753
12,+length_ctrl,true_head,-5.4364,-10.1868,-4.7504
13,+factuality,prism_meandiff,9.0616,8.9408,-0.1209
13,+factuality,true_head,-2.1682,-2.044,0.1241
13,+helpfulness,prism_meandiff,9.0616,5.9775,-3.0842
13,+helpfulness,true_head,-2.1682,-3.844,-1.6758
13,+formatting,prism_meandiff,9.0616,4.7965,-4.2651
13,+formatting,true_head,-2.1682,-2.4464,-0.2783
13,-sycophancy,prism_meandiff,9.0616,4.8397,-4.2219
13,-sycophancy,true_head,-2.1682,-5.6447,-3.4765
13,+length_ctrl,prism_meandiff,9.0616,6.9274,-2.1342
13,+length_ctrl,true_head,-2.1682,-0.8765,1.2917
14,+factuality,prism_meandiff,8.4231,5.7747,-2.6485
14,+factuality,true_head,-6.6493,-9.4099,-2.7606
14,+helpfulness,prism_meandiff,8.4231,2.0556,-6.3675
14,+helpfulness,true_head,-6.6493,-11.8165,-5.1672
14,+formatting,prism_meandiff,8.4231,4.0994,-4.3237
14,+formatting,true_head,-6.6493,-10.7261,-4.0768
14,-sycophancy,prism_meandiff,8.4231,-0.0883,-8.5114
14,-sycophancy,true_head,-6.6493,-14.6164,-7.9671
