rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs
1,0.0,0.8299,0.609,1.0,1,0.6364,0.637,0.639,0.6213,200,120
5,0.0,0.9966,0.6058,0.0004,5,0.6364,0.637,0.639,0.6213,200,120
10,0.0,0.999,0.6053,0.0019,10,0.6364,0.637,0.639,0.6213,200,120
20,0.0,0.9998,0.6178,0.0001,20,0.6364,0.637,0.639,0.6213,200,120
5,10.0,0.6588,0.6244,0.8455,5,0.6364,0.637,0.639,0.6213,200,120
20,10.0,0.7862,0.6247,0.7306,20,0.6364,0.637,0.639,0.6213,200,120
5,50.0,0.6403,0.632,0.91,4,0.6364,0.637,0.639,0.6213,200,120
20,50.0,0.6483,0.6336,0.8311,18,0.6364,0.637,0.639,0.6213,200,120
5,200.0,0.6447,0.6361,0.9863,4,0.6364,0.637,0.639,0.6213,200,120
20,200.0,0.645,0.6375,0.9885,19,0.6364,0.637,0.639,0.6213,200,120
5,1000.0,0.6441,0.6367,0.9989,4,0.6364,0.637,0.639,0.6213,200,120
20,1000.0,0.6442,0.6364,0.9883,17,0.6364,0.637,0.639,0.6213,200,120
