concept,wbar_response_r,wbar_response_std,head_response_r,wbar_diff_r,wbar_diff_std,wbar_diff_pctile,head_diff_r,head_diff_pctile,null_diff_median,null_response,null_diff
diversity,0.7697,0.0149,0.9829,0.7671,0.0149,85.2,0.9882,100.0,0.4952,0.7722,0.8469
helpfulness,0.7722,0.0186,0.9942,0.7636,0.0153,83.2,0.9946,100.0,0.4948,0.7865,0.8583
factuality,0.7668,0.0176,0.9916,0.7632,0.0158,84.6,0.9933,100.0,0.4899,0.7815,0.851
confidence,0.7374,0.0128,0.9591,0.7625,0.0141,84.6,0.975,100.0,0.4868,0.7597,0.8374
safety,0.7482,0.0161,0.9817,0.7622,0.0148,85.0,0.9852,100.0,0.5004,0.7733,0.8503
values,0.7507,0.016,0.9841,0.7621,0.0149,84.8,0.9876,100.0,0.5016,0.776,0.8481
sycophancy,-0.7423,0.0146,-0.9761,-0.7618,0.0145,85.0,-0.981,100.0,0.4974,0.7705,0.8537
creativity,-0.7339,0.0162,-0.9742,-0.7502,0.0157,82.8,-0.976,100.0,0.4993,0.7659,0.8548
repetition,-0.7689,0.0232,-0.9794,-0.7474,0.0163,81.2,-0.9817,100.0,0.4811,0.782,0.8493
formatting,0.7877,0.0185,0.9694,0.7224,0.0176,81.0,0.9674,100.0,0.4651,0.7846,0.8377
fluency,-0.4724,0.0383,-0.6776,-0.5414,0.0147,64.6,-0.8029,98.4,0.4267,0.6559,0.7663
