seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,max_pairs_budget
0,20,0.0,1.0,0.6293,0.001,20,0.6467,0.646,0.6473,0.6093,200,51,50
1,20,0.0,1.0,0.6093,0.0003,20,0.6417,0.6453,0.6337,0.6217,200,51,50
2,20,0.0,1.0,0.6257,0.0,20,0.6497,0.6523,0.6483,0.6013,200,51,50
0,20,0.0,0.9999,0.6252,0.0003,20,0.6361,0.6375,0.6458,0.6203,200,102,100
1,20,0.0,0.9998,0.6119,0.0,20,0.6349,0.6331,0.6309,0.6187,200,102,100
2,20,0.0,0.9999,0.6089,0.001,20,0.6354,0.6361,0.6359,0.6126,200,102,100
0,20,0.0,0.9997,0.6146,0.0001,20,0.6391,0.6401,0.6451,0.628,200,201,200
1,20,0.0,0.9992,0.5993,0.0006,20,0.6371,0.6388,0.6396,0.6223,200,201,200
2,20,0.0,0.9987,0.6149,0.0003,20,0.6372,0.6382,0.6402,0.6162,200,201,200
0,20,0.0,0.9989,0.6186,0.0004,20,0.6438,0.6475,0.6476,0.631,200,225,400
1,20,0.0,0.9983,0.6079,0.0002,20,0.6392,0.6402,0.6345,0.6246,200,225,400
2,20,0.0,0.9989,0.6067,0.0001,20,0.64,0.64,0.6417,0.6249,200,225,400
