seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,1,0.0,0.6666,0.6696,1.0,1,0.6463,0.6506,0.6456,0.6332,200,180,0.6696
0,5,0.0,0.7188,0.6789,0.012,5,0.6463,0.6506,0.6456,0.6332,200,180,0.6783
0,8,0.0,0.7251,0.6798,0.006,8,0.6463,0.6506,0.6456,0.6332,200,180,0.6775
0,10,0.0,0.7276,0.6766,0.0009,10,0.6463,0.6506,0.6456,0.6332,200,180,0.675
0,20,0.0,0.7261,0.6762,0.0009,20,0.6463,0.6506,0.6456,0.6332,200,180,0.6761
1,1,0.0,0.6981,0.6693,1.0,1,0.6393,0.6392,0.6338,0.6258,200,180,0.6693
1,5,0.0,0.7141,0.6754,0.0314,5,0.6393,0.6392,0.6338,0.6258,200,180,0.6756
1,8,0.0,0.7275,0.6748,0.0032,8,0.6393,0.6392,0.6338,0.6258,200,180,0.6772
1,10,0.0,0.7183,0.672,0.0008,10,0.6393,0.6392,0.6338,0.6258,200,180,0.6716
1,20,0.0,0.7423,0.6785,0.0004,20,0.6393,0.6392,0.6338,0.6258,200,180,0.678
2,1,0.0,0.7005,0.673,1.0,1,0.6422,0.6416,0.6468,0.6188,200,180,0.673
2,5,0.0,0.6996,0.6718,0.0024,5,0.6422,0.6416,0.6468,0.6188,200,180,0.6723
2,8,0.0,0.7155,0.677,0.0021,8,0.6422,0.6416,0.6468,0.6188,200,180,0.6762
2,10,0.0,0.7161,0.674,0.002,10,0.6422,0.6416,0.6468,0.6188,200,180,0.6738
2,20,0.0,0.7193,0.6732,0.0001,20,0.6422,0.6416,0.6468,0.6188,200,180,0.6757
3,1,0.0,0.7062,0.656,1.0,1,0.6267,0.6311,0.6319,0.6275,200,180,0.656
3,5,0.0,0.7194,0.6575,0.0002,5,0.6267,0.6311,0.6319,0.6275,200,180,0.6569
3,8,0.0,0.719,0.6564,0.0018,8,0.6267,0.6311,0.6319,0.6275,200,180,0.6569
3,10,0.0,0.7303,0.6531,0.0016,10,0.6267,0.6311,0.6319,0.6275,200,180,0.6542
3,20,0.0,0.7256,0.6475,0.0002,20,0.6267,0.6311,0.6319,0.6275,200,180,0.648
4,1,0.0,0.6699,0.6614,1.0,1,0.6439,0.6412,0.6444,0.6197,200,180,0.6614
4,5,0.0,0.7165,0.6791,0.0067,5,0.6439,0.6412,0.6444,0.6197,200,180,0.6792
4,8,0.0,0.7296,0.6768,0.0053,8,0.6439,0.6412,0.6444,0.6197,200,180,0.6758
4,10,0.0,0.7263,0.6763,0.0019,10,0.6439,0.6412,0.6444,0.6197,200,180,0.678
4,20,0.0,0.7289,0.6767,0.0006,20,0.6439,0.6412,0.6444,0.6197,200,180,0.6772
