seed,shots,n_unseen,base_rm,wbar_only,adapted,meandiff,adapted_minus_wbar
0,5,60,0.6164,0.6463,0.6393,0.5431,-0.007
0,10,60,0.6164,0.6463,0.6392,0.5817,-0.0072
0,25,60,0.6164,0.6463,0.645,0.6138,-0.0013
0,50,60,0.6164,0.6463,0.6418,0.6045,-0.0046
1,5,60,0.65,0.6871,0.6569,0.5991,-0.0302
1,10,60,0.65,0.6871,0.6623,0.6064,-0.0249
1,25,60,0.65,0.6871,0.6786,0.6291,-0.0085
1,50,60,0.65,0.6871,0.6773,0.6445,-0.0099
2,5,60,0.6464,0.6658,0.6658,0.5965,-0.0
2,10,60,0.6464,0.6658,0.6636,0.6403,-0.0022
2,25,60,0.6464,0.6658,0.6653,0.6498,-0.0005
2,50,60,0.6464,0.6658,0.6643,0.6513,-0.0015
