phase,lr,lam_pop,lam_d,val_acc,train_acc,min_abs_basis_cos,stopped_at,delta_norm,base_rm
lr,0.0001,0.1,0.1,0.6672,0.6884,0.0132,242,0.0402,0.6402
lr,0.001,0.1,0.1,0.6644,0.7126,0.001,184,0.1404,0.6402
lr,0.01,0.1,0.1,0.6556,0.7133,0.0048,174,0.5254,0.6402
lr,0.1,0.1,0.1,0.6525,0.7957,0.0541,206,0.1839,0.6402
grid,0.0001,0.001,0.001,0.6712,0.7076,0.0033,223,0.0347,0.6402
grid,0.0001,0.001,0.01,0.6712,0.7076,0.0033,223,0.0347,0.6402
grid,0.0001,0.001,0.1,0.6711,0.7077,0.0033,223,0.034,0.6402
grid,0.0001,0.001,1.0,0.6713,0.7075,0.0029,222,0.0282,0.6402
grid,0.0001,0.001,10.0,0.6699,0.7159,0.0245,262,0.0096,0.6402
grid,0.0001,0.01,0.001,0.6733,0.7083,0.0023,230,0.0368,0.6402
grid,0.0001,0.01,0.01,0.6733,0.7084,0.0023,230,0.0368,0.6402
grid,0.0001,0.01,0.1,0.6734,0.7084,0.002,230,0.0362,0.6402
grid,0.0001,0.01,1.0,0.6721,0.7089,0.0001,232,0.0308,0.6402
grid,0.0001,0.01,10.0,0.6736,0.7184,0.0002,301,0.0106,0.6402
grid,0.0001,0.1,0.001,0.6671,0.6884,0.0133,242,0.0408,0.6402
grid,0.0001,0.1,0.01,0.6671,0.6884,0.0133,242,0.0408,0.6402
grid,0.0001,0.1,0.1,0.6672,0.6884,0.0132,242,0.0402,0.6402
grid,0.0001,0.1,1.0,0.6668,0.6878,0.0126,245,0.0357,0.6402
grid,0.0001,0.1,10.0,0.6676,0.6907,0.0123,370,0.0216,0.6402
grid,0.0001,1.0,0.001,0.6523,0.6589,0.0043,278,0.0508,0.6402
grid,0.0001,1.0,0.01,0.6523,0.6588,0.0043,278,0.0507,0.6402
grid,0.0001,1.0,0.1,0.6526,0.6589,0.0039,277,0.0491,0.6402
grid,0.0001,1.0,1.0,0.6541,0.6902,0.0218,945,0.102,0.6402
grid,0.0001,1.0,10.0,0.6573,0.6737,0.0032,2702,0.1377,0.6402
grid,0.0001,10.0,0.001,0.6491,0.7146,0.0043,1490,0.3108,0.6402
grid,0.0001,10.0,0.01,0.6509,0.7138,0.0013,1496,0.3037,0.6402
grid,0.0001,10.0,0.1,0.6481,0.7042,0.0055,1473,0.2292,0.6402
grid,0.0001,10.0,1.0,0.6431,0.6847,0.0219,2782,0.1595,0.6402
grid,0.0001,10.0,10.0,0.6467,0.6528,0.0003,3000,0.419,0.6402
recheck,0.0001,0.01,10.0,0.6736,0.7184,0.0002,301,0.0106,0.6402
recheck,0.001,0.01,10.0,0.6725,0.722,0.0072,292,0.0117,0.6402
recheck,0.01,0.01,10.0,0.6717,0.7293,0.0023,268,0.0154,0.6402
recheck,0.1,0.01,10.0,0.6709,0.7062,0.0801,209,0.1028,0.6402
