seed,rank,alpha,train_acc,test_acc,min_abs_basis_cos,bases_kept,base_rm,global,personal,other_user,n_users,median_pairs,wbar_only
0,1,0.0,0.7879,0.6383,1.0,1,0.6463,0.6506,0.6456,0.6332,200,180,
0,5,0.0,0.988,0.6078,0.0021,5,0.6463,0.6506,0.6456,0.6332,200,180,
0,8,0.0,0.9969,0.6147,0.0013,8,0.6463,0.6506,0.6456,0.6332,200,180,
0,10,0.0,0.9967,0.6071,0.0005,10,0.6463,0.6506,0.6456,0.6332,200,180,
0,20,0.0,0.9989,0.6068,0.0,20,0.6463,0.6506,0.6456,0.6332,200,180,
1,1,0.0,0.7852,0.6517,1.0,1,0.6393,0.6392,0.6338,0.6258,200,180,
1,5,0.0,0.9871,0.6086,0.0036,5,0.6393,0.6392,0.6338,0.6258,200,180,
1,8,0.0,0.9969,0.6061,0.0021,8,0.6393,0.6392,0.6338,0.6258,200,180,
1,10,0.0,0.9978,0.6051,0.0001,10,0.6393,0.6392,0.6338,0.6258,200,180,
1,20,0.0,0.9995,0.6124,0.0005,20,0.6393,0.6392,0.6338,0.6258,200,180,
2,1,0.0,0.7896,0.6332,1.0,1,0.6422,0.6416,0.6468,0.6188,200,180,
2,5,0.0,0.9816,0.6148,0.0015,5,0.6422,0.6416,0.6468,0.6188,200,180,
2,8,0.0,0.9954,0.6047,0.0016,8,0.6422,0.6416,0.6468,0.6188,200,180,
2,10,0.0,0.9981,0.6062,0.0015,10,0.6422,0.6416,0.6468,0.6188,200,180,
2,20,0.0,0.9993,0.6156,0.0001,20,0.6422,0.6416,0.6468,0.6188,200,180,
3,1,0.0,0.7938,0.6246,1.0,1,0.6267,0.6311,0.6319,0.6275,200,180,
3,5,0.0,0.9868,0.5987,0.0013,5,0.6267,0.6311,0.6319,0.6275,200,180,
3,8,0.0,0.997,0.6014,0.0002,8,0.6267,0.6311,0.6319,0.6275,200,180,
3,10,0.0,0.9976,0.5909,0.0023,10,0.6267,0.6311,0.6319,0.6275,200,180,
3,20,0.0,0.9991,0.5986,0.0003,20,0.6267,0.6311,0.6319,0.6275,200,180,
4,1,0.0,0.7826,0.6307,1.0,1,0.6439,0.6412,0.6444,0.6197,200,180,
4,5,0.0,0.987,0.61,0.0075,5,0.6439,0.6412,0.6444,0.6197,200,180,
4,8,0.0,0.995,0.6135,0.0011,8,0.6439,0.6412,0.6444,0.6197,200,180,
4,10,0.0,0.9979,0.618,0.0014,10,0.6439,0.6412,0.6444,0.6197,200,180,
4,20,0.0,0.9989,0.6124,0.0004,20,0.6439,0.6412,0.6444,0.6197,200,180,
