direction,concept,cos_mean,cos_std,null_tau,significant
wbar,helpfulness,0.0434,0.0019,0.0318,True
wbar,fluency,0.048,0.0065,0.0318,True
wbar,factuality,0.0245,0.0027,0.0318,False
wbar,safety,0.0201,0.0029,0.0318,False
wbar,diversity,0.0384,0.0043,0.0318,True
wbar,creativity,-0.0172,0.0022,0.0318,False
wbar,values,0.0214,0.0037,0.0318,False
wbar,confidence,0.052,0.0055,0.0318,True
wbar,formatting,0.0272,0.0016,0.0318,False
wbar,sycophancy,-0.0177,0.0049,0.0318,False
wbar,repetition,-0.03,0.001,0.0318,False
base_head,helpfulness,0.4935,0.0,0.0318,True
base_head,fluency,-0.0416,0.0,0.0318,True
base_head,factuality,0.4574,0.0,0.0318,True
base_head,safety,0.4235,0.0,0.0318,True
base_head,diversity,0.4083,0.0,0.0318,True
base_head,creativity,-0.3831,0.0,0.0318,True
base_head,values,0.4444,0.0,0.0318,True
base_head,confidence,0.2523,0.0,0.0318,True
base_head,formatting,0.3621,0.0,0.0318,True
base_head,sycophancy,-0.4007,0.0,0.0318,True
base_head,repetition,-0.3939,0.0,0.0318,True
residual,helpfulness,0.0238,0.0038,0.0318,False
residual,fluency,0.0497,0.0066,0.0318,True
residual,factuality,0.0063,0.0034,0.0318,False
residual,safety,0.0032,0.0031,0.0318,False
residual,diversity,0.0221,0.0029,0.0318,False
residual,creativity,-0.002,0.0049,0.0318,False
residual,values,0.0037,0.0027,0.0318,False
residual,confidence,0.042,0.0053,0.0318,True
residual,formatting,0.0128,0.0037,0.0318,False
residual,sycophancy,-0.0018,0.0048,0.0318,False
residual,repetition,-0.0144,0.0035,0.0318,False
