seed,true_concept,true_sign,sae_pred,sae_sign,nosae_pred,nosae_sign,sae_correct,nosae_correct
0,fluency,high,helpfulness,low,helpfulness,low,0,0
0,fluency,low,helpfulness,high,helpfulness,high,0,0
0,repetition,high,formatting,low,repetition,high,0,1
0,repetition,low,formatting,high,helpfulness,low,0,0
0,confidence,high,diversity,high,confidence,high,0,1
0,confidence,low,diversity,low,confidence,low,0,1
0,creativity,high,formatting,high,diversity,low,0,0
0,creativity,low,formatting,low,diversity,high,0,0
0,formatting,high,diversity,high,diversity,high,0,0
0,formatting,low,diversity,low,diversity,low,0,0
0,diversity,high,diversity,high,diversity,high,1,1
0,diversity,low,diversity,low,diversity,low,1,1
1,fluency,high,repetition,low,helpfulness,low,0,0
1,fluency,low,helpfulness,high,helpfulness,high,0,0
1,repetition,high,formatting,low,repetition,high,0,1
1,repetition,low,formatting,high,repetition,low,0,1
1,confidence,high,diversity,high,confidence,high,0,1
1,confidence,low,diversity,low,confidence,low,0,1
1,creativity,high,creativity,low,diversity,low,0,0
1,creativity,low,creativity,high,diversity,high,0,0
1,formatting,high,diversity,high,diversity,high,0,0
1,formatting,low,diversity,low,diversity,low,0,0
1,diversity,high,diversity,high,diversity,high,1,1
1,diversity,low,diversity,low,diversity,low,1,1
2,fluency,high,helpfulness,low,helpfulness,low,0,0
2,fluency,low,helpfulness,high,helpfulness,high,0,0
2,repetition,high,repetition,high,repetition,high,1,1
2,repetition,low,formatting,high,repetition,low,0,1
2,confidence,high,diversity,high,confidence,high,0,1
2,confidence,low,diversity,low,confidence,low,0,1
2,creativity,high,creativity,low,diversity,low,0,0
2,creativity,low,creativity,high,diversity,high,0,0
2,formatting,high,diversity,high,diversity,high,0,0
2,formatting,low,fluency,high,fluency,high,0,0
2,diversity,high,diversity,high,diversity,high,1,1
2,diversity,low,diversity,low,diversity,low,1,1
3,fluency,high,helpfulness,low,helpfulness,low,0,0
3,fluency,low,helpfulness,high,helpfulness,high,0,0
3,repetition,high,formatting,low,repetition,high,0,1
3,repetition,low,formatting,high,repetition,low,0,1
3,confidence,high,diversity,high,confidence,high,0,1
3,confidence,low,diversity,low,confidence,low,0,1
3,creativity,high,creativity,low,diversity,low,0,0
3,creativity,low,creativity,high,diversity,high,0,0
3,formatting,high,diversity,high,fluency,low,0,0
3,formatting,low,diversity,low,diversity,low,0,0
3,diversity,high,diversity,high,diversity,high,1,1
3,diversity,low,diversity,low,diversity,low,1,1
4,fluency,high,helpfulness,low,helpfulness,low,0,0
4,fluency,low,helpfulness,high,helpfulness,high,0,0
4,repetition,high,formatting,low,formatting,low,0,0
4,repetition,low,formatting,high,repetition,low,0,1
4,confidence,high,diversity,high,confidence,high,0,1
4,confidence,low,diversity,low,confidence,low,0,1
4,creativity,high,creativity,low,diversity,low,0,0
4,creativity,low,creativity,high,diversity,high,0,0
4,formatting,high,fluency,low,diversity,high,0,0
4,formatting,low,diversity,low,formatting,low,0,1
4,diversity,high,diversity,high,diversity,high,1,1
4,diversity,low,diversity,low,diversity,low,1,1
5,fluency,high,helpfulness,low,helpfulness,low,0,0
5,fluency,low,diversity,low,helpfulness,high,0,0
5,repetition,high,formatting,low,diversity,high,0,0
5,repetition,low,formatting,high,diversity,low,0,0
5,confidence,high,diversity,high,confidence,high,0,1
5,confidence,low,diversity,low,confidence,low,0,1
5,creativity,high,diversity,low,diversity,low,0,0
5,creativity,low,formatting,low,diversity,high,0,0
5,formatting,high,diversity,high,fluency,low,0,0
5,formatting,low,diversity,low,fluency,high,0,0
5,diversity,high,diversity,high,diversity,high,1,1
5,diversity,low,diversity,low,diversity,low,1,1
6,fluency,high,helpfulness,low,helpfulness,low,0,0
6,fluency,low,helpfulness,high,helpfulness,high,0,0
6,repetition,high,diversity,high,diversity,high,0,0
6,repetition,low,formatting,high,diversity,low,0,0
6,confidence,high,diversity,high,confidence,high,0,1
6,confidence,low,diversity,low,confidence,low,0,1
6,creativity,high,creativity,low,diversity,low,0,0
6,creativity,low,creativity,high,diversity,high,0,0
6,formatting,high,diversity,high,repetition,low,0,0
6,formatting,low,diversity,low,repetition,high,0,0
6,diversity,high,diversity,high,diversity,high,1,1
6,diversity,low,diversity,low,diversity,low,1,1
7,fluency,high,helpfulness,low,helpfulness,low,0,0
7,fluency,low,helpfulness,high,helpfulness,high,0,0
7,repetition,high,diversity,high,diversity,high,0,0
7,repetition,low,diversity,low,diversity,low,0,0
7,confidence,high,diversity,high,confidence,high,0,1
7,confidence,low,diversity,low,confidence,low,0,1
7,creativity,high,creativity,low,diversity,low,0,0
7,creativity,low,creativity,high,diversity,high,0,0
7,formatting,high,diversity,high,diversity,high,0,0
7,formatting,low,fluency,high,fluency,high,0,0
7,diversity,high,diversity,high,diversity,high,1,1
7,diversity,low,diversity,low,diversity,low,1,1
8,fluency,high,helpfulness,low,helpfulness,low,0,0
8,fluency,low,helpfulness,high,helpfulness,high,0,0
8,repetition,high,formatting,low,repetition,high,0,1
8,repetition,low,formatting,high,repetition,low,0,1
8,confidence,high,diversity,high,confidence,high,0,1
8,confidence,low,diversity,low,confidence,low,0,1
8,creativity,high,creativity,low,diversity,low,0,0
8,creativity,low,creativity,high,diversity,high,0,0
8,formatting,high,diversity,high,diversity,high,0,0
8,formatting,low,diversity,low,diversity,low,0,0
8,diversity,high,diversity,high,diversity,high,1,1
8,diversity,low,diversity,low,diversity,low,1,1
9,fluency,high,helpfulness,low,helpfulness,low,0,0
9,fluency,low,helpfulness,high,helpfulness,high,0,0
9,repetition,high,formatting,low,diversity,high,0,0
9,repetition,low,formatting,high,repetition,low,0,1
9,confidence,high,diversity,high,confidence,high,0,1
9,confidence,low,diversity,low,confidence,low,0,1
9,creativity,high,formatting,high,diversity,low,0,0
9,creativity,low,diversity,high,diversity,high,0,0
9,formatting,high,diversity,high,diversity,high,0,0
9,formatting,low,diversity,low,diversity,low,0,0
9,diversity,high,diversity,high,diversity,high,1,1
9,diversity,low,diversity,low,diversity,low,1,1
