pairs_per_user,seed,train_acc,test_acc,subspace_align,best_axis_match,min_abs_basis_cos,w_recovery
5,0,1.0,0.5093250000476837,0.14549288153648376,0.12009235471487045,0.008414248935878277,0.25
5,1,1.0,0.5140749993920326,0.16899174451828003,0.13570839166641235,0.009794127196073532,0.275
5,2,1.0,0.5140249980986118,0.1560056060552597,0.16145935654640198,0.01779259741306305,0.29
10,0,1.0,0.5154749980568886,0.18049141764640808,0.15119269490242004,0.010143730789422989,0.265
10,1,1.0,0.5091500005126,0.1320030391216278,0.12114536762237549,0.007613761350512505,0.285
10,2,1.0,0.5133999980986118,0.1352664679288864,0.11437545716762543,0.003523474559187889,0.25
15,0,1.0,0.5194999992847442,0.23694510757923126,0.1942785084247589,0.011317353695631027,0.265
15,1,1.0,0.5203499980270863,0.20753970742225647,0.16717149317264557,0.006513472646474838,0.27
15,2,1.0,0.5169499978423119,0.19202089309692383,0.14771753549575806,0.02657070755958557,0.235
25,0,0.8761999973654747,0.5333749961853027,0.3202606737613678,0.24001888930797577,0.03996742516756058,0.315
25,1,0.8683999955654145,0.527800000011921,0.3032611012458801,0.26683419942855835,0.03154882788658142,0.335
25,2,0.862999995648861,0.5265749999880791,0.24871547520160675,0.18981817364692688,0.029061805456876755,0.29
50,0,0.8603999970853329,0.7672749990224839,0.929173469543457,0.9269065856933594,0.011262316256761551,0.93
50,1,0.8488999968767166,0.7610249990224838,0.9278031587600708,0.9235378503799438,0.0062395259737968445,0.915
50,2,0.8571999956667423,0.7689749997854233,0.9228430986404419,0.9215477108955383,0.011858755722641945,0.94
100,0,0.8843999999761581,0.8490500009059906,0.9779221415519714,0.9773892164230347,0.0025067999958992004,1.0
100,1,0.8813499990105629,0.8503750005364418,0.9801166653633118,0.9797878265380859,0.002174064517021179,1.0
100,2,0.8780000016093255,0.8439000041782856,0.9796406626701355,0.9793425798416138,0.0017390735447406769,0.99
200,0,0.8830749997496605,0.8717499998211861,0.9900345802307129,0.9898368716239929,0.0002629738301038742,1.0
200,1,0.8847249966859817,0.8697750005125999,0.9900007247924805,0.9898005723953247,0.0010633580386638641,1.0
200,2,0.8833249968290329,0.8687750017642974,0.989949107170105,0.9896524548530579,0.0003119753673672676,1.0
400,0,0.8856374967098236,0.8867999973893166,0.9949740171432495,0.9949254989624023,0.002394815906882286,1.0
400,1,0.8900874942541123,0.8876749968528748,0.9951173663139343,0.9950478672981262,0.00012859515845775604,1.0
400,2,0.8895249962806702,0.8829999995231629,0.9952197074890137,0.9951210021972656,0.0015241848304867744,1.0
1000,0,0.8948299986124039,0.8974249973893166,0.9981109499931335,0.9980760812759399,0.0007471367716789246,1.0
1000,1,0.8941750028729438,0.8933249953389167,0.9981034994125366,0.9980767965316772,0.0005477741360664368,1.0
1000,2,0.8944399997591972,0.8939749994874,0.9979695081710815,0.997890830039978,0.0002652052789926529,1.0
